sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,direction,distFromRef,distFromLink,slope
4552,6/13/2009 11:47,13,53.06497763,8.791656448,42,23,44,51881856,U,48.09291232,0.04300563,U
4552,6/13/2009 11:47,13,53.06524308,8.792106137,42,31,45,51881767,U,111.8372099,0.149272324,U
4552,6/13/2009 11:47,13,53.06554886,8.792614583,42,40,44,51881767,U,111.8372099,0.152996298,0
4552,6/13/2009 11:47,13,53.0658807,8.793146331,42,0,360,51881767,T,40.53992149,0.146553193,0
4552,6/13/2009 11:47,13,53.06611078,8.793384293,42,4,35,51881767,F,66.79623208,0.074014501,0
4552,6/13/2009 11:47,13,53.06611212,8.793409439,41,1,322,51881767,F,68.59836411,0.08596284,-0.027415538
4552,6/13/2009 11:47,13,53.06610432,8.793428298,41,0,153,51881767,F,69.57722042,0.102441255,0
4552,6/13/2009 11:47,13,53.06610843,8.793431148,42,0,313,51881767,F,69.94901463,0.100416138,0.027415559
4552,6/13/2009 11:47,13,53.06611187,8.793429472,41,0,310,51881767,F,69.97829384,0.096606561,-0.027415561
4552,6/13/2009 11:48,13,53.06613517,8.793405918,41,1,152,51881767,T,69.32965388,0.06445028,0
4552,6/13/2009 11:48,13,53.06612746,8.793420587,41,1,320,51881767,F,70.02148738,0.078670311,0
4552,6/13/2009 11:48,13,53.06618714,8.793516476,41,16,39,51881767,F,79.20344373,0.077642558,0
4552,6/13/2009 11:48,13,53.06662048,8.793618148,42,57,359,51881765,U,14.8479686,0.159502715,U
4552,6/13/2009 11:48,13,53.06709456,8.794163726,42,41,40,51881771,U,91.21057281,0.307591235,U
4552,6/13/2009 11:48,13,53.06737502,8.794790441,42,29,47,51881768,U,120.5413957,0.218311478,U
4552,6/13/2009 11:48,13,53.06738139,8.795057824,41,1,19,51881768,F,139.3183785,0.075853409,-0.027415256
4552,6/13/2009 11:48,13,53.06730302,8.795216074,41,10,44,51881768,F,146.6660074,0.076917164,0
4552,6/13/2009 11:48,13,53.06754467,8.795525953,43,27,42,51881768,F,179.1665296,0.046773448,0.027415272
4552,6/13/2009 11:48,13,53.06789177,8.796054432,45,43,40,51881825,U,45.20985746,0.041958999,U
4552,6/13/2009 11:48,13,53.06837725,8.796754573,45,0,360,51881825,F,115.3243502,0.012491109,0
4552,6/13/2009 11:49,13,53.06889902,8.797643725,45,49,48,51881938,U,16.20903463,0.028368999,U
4552,6/13/2009 11:49,13,53.0692229,8.798440425,46,37,64,811768915,U,8.897643411,0.010739829,U
4552,6/13/2009 11:49,13,53.06927654,8.798737982,47,3,70,811768917,U,13.8949797,0.003948732,U
4552,6/13/2009 11:49,13,53.06927788,8.798743933,47,0,144,811768917,U,13.8949797,8.97E-04,0
4552,6/13/2009 11:49,13,53.06927637,8.798751058,46,0,205,811768917,U,13.8949797,0.004310021,-0.027415559
4552,6/13/2009 11:49,13,53.06927562,8.79875374,46,0,209,811768917,U,13.8949797,0.00545541,0
4552,6/13/2009 11:49,13,53.06927486,8.798754662,46,0,200,811768917,U,13.8949797,0.005463967,0
4552,6/13/2009 11:49,13,53.06927419,8.798754998,46,0,185,811768917,U,13.8949797,0.0051656,0
4552,6/13/2009 11:49,13,53.06927403,8.798755584,46,0,199,811768917,U,13.8949797,0.005418829,0
4552,6/13/2009 11:49,13,53.06927403,8.798756087,46,0,177,811768917,U,13.8949797,0.005741538,0
4552,6/13/2009 11:49,13,53.06927428,8.798756339,46,0,196,811768917,U,13.8949797,0.00609498,0
4552,6/13/2009 11:49,13,53.06927436,8.798756422,46,0,190,811768917,U,13.8949797,0.006209596,0
4552,6/13/2009 11:50,13,53.06927905,8.798778635,46,4,74,811768917,U,13.8949797,0.024058302,0
4552,6/13/2009 11:50,13,53.06935432,8.799170069,49,22,71,778526449,U,27.0531382,0.056706694,U
4552,6/13/2009 11:50,13,53.06957267,8.799540717,49,26,26,51881935,U,23.34370869,0.076400766,U
4552,6/13/2009 11:50,13,53.06995832,8.799769459,49,42,11,51881935,F,32.57463561,0.017028104,0
4552,6/13/2009 11:50,13,53.07041204,8.800142119,49,40,40,586485420,U,69.08245778,0.047605126,U
4552,6/13/2009 11:50,13,53.0709173,8.800867572,49,0,360,586485420,T,50.57557491,0.114809552,0
4552,6/13/2009 11:50,13,53.07126632,8.801606353,48,46,56,51883233,U,20.91986873,0.068265854,U
4552,6/13/2009 11:50,13,53.07158349,8.802453429,49,43,58,67948960,U,54.40765481,0.061755599,U
4552,6/13/2009 11:50,13,53.0718575,8.803196484,50,37,59,67948960,T,37.626307,0.053856976,0.027414551
4552,6/13/2009 11:50,13,53.07210904,8.80376352,51,32,48,67948524,U,31.53464664,0.05222942,U
4552,6/13/2009 11:50,13,53.072419,8.804310942,50,38,46,51883237,U,18.42966454,0.083644067,U
4552,6/13/2009 11:50,13,53.07271589,8.804858532,51,32,51,51883238,U,47.92641046,0.064800775,U
4552,6/13/2009 11:51,13,53.07295963,8.805321297,51,29,50,51883238,U,47.92641046,0.047114888,0
4552,6/13/2009 11:51,13,53.07316482,8.80572564,51,19,52,51883238,F,60.1203831,0.038757209,0
4552,6/13/2009 11:51,13,53.07325166,8.805937618,51,7,62,811593144,U,291.6513223,0.012526751,U
4552,6/13/2009 11:51,13,53.07326842,8.806004422,49,2,79,811593144,T,287.5170581,0.02920673,-0.027415526
