linkPVID,Slope given (Average),Computed Slope(Average)
51881767,0.104333333,-0.002741554
51881768,-0.0165,5.34E-09
51881825,-0.117,0
51881938,0.123333333,0
811768915,0.175333333,0
51883233,1.491666667,0
67948960,0.83725,-0.027414551
67948524,0.424333333,0
51883237,0.978,0
51883238,0.10875,0
51883362,1.15375,-0.027414991
67948946,1.17875,0
67948945,0.09575,0
67948530,-0.6805,0
51883890,-0.35825,2.44E-08
554728228,0.942142857,0.00685355
554728229,0.2355,0
51867645,-0.102,0
762732456,-0.0185,0
51866678,-0.021,-0.027415431
51866677,-0.002,0
799517966,-0.055666667,0.013707737
799517967,-1.45E-18,0
51865408,-0.024,0.027414392
762732451,-0.012,0
762732452,-0.0055,9.45E-08
51882111,-0.0715,0
51882112,-0.071666667,0
762732447,0.017666667,0
762732448,0.019,0
762732458,0.064,0
719953785,-0.004666667,-0.027414973
716671988,-0.013666667,1.58E-07
762772848,-5.00E-04,0
762772849,0.0115,-0.009138201
51881430,0.111666667,0.027414558
51888926,-0.0235,-0.009138482
554739608,-0.094333333,3.46E-08
51867079,-0.069,-0.027415087
554739611,-0.145,0
554728248,0.057666667,0
554728249,0.372,0
67942291,0.491,0.013707624
67942292,0.263666667,0
773673189,-0.6475,0
773673190,-0.797,0
67948819,-0.1952,0
51867088,-0.094,0.027414649
51867089,-0.11475,0
51867664,0.04,0
51867774,0.085666667,-0.009138526
572252438,0.107,-1.17E-07
572252439,0.049666667,-0.027415228
51867666,0.047,-0.027414287
554728246,0.00975,-0.013707386
51867668,-0.073,0
781750241,0.043,0
51867087,-0.3265,-0.02741518
51867096,-0.5135,-0.004569293
773673192,-0.386,0
51867114,0.181,0
67942290,0.3665,0
67942289,0.151,0
51882109,-0.012,0
586525586,-0.22725,0
51867717,-0.064,0
586525704,-0.143,0
51867684,0.0205,0
724991084,-0.131,0
51885534,-0.084,0.006853579
51883586,-0.906,-0.018276346
51883509,-0.846333333,-3.73E-08
51883510,-1.4265,0
723434427,-1.226,0
723434426,-0.28775,0
711674430,1.049333333,0
586532797,1.083285714,-0.027414726
554749725,0.12,0
554749724,0.529,0
51883141,0.599,0
762783421,0.118,0
762783420,-0.17175,0.02741392
67948599,0.153,0.027413927
67948598,0.963875,0
51869460,-0.77125,0
51869456,-0.6808,0
83733403,-0.015,0
726159762,0.0415,0
726159763,0.177,0
572245506,-0.02,0
572245505,0.0605,0.02741428
572245502,0.059666667,-0.013707067
572245501,0.0672,2.57E-07
67948729,-0.899,0
51929932,0.065333333,0
51883577,0.514818182,-0.027413874
67948494,-0.951230769,0
67948453,-0.1815,0
724247769,-1.19,0
83734332,-0.492,0
83734331,-0.186,0
51883668,0.656333333,0.013707042
51883669,0.287333333,-0.02741535
586834766,-0.121375,0
711688562,0.466666667,-3.97E-07
586834767,-0.4318,0
764758872,-2.3523,0
554808815,2.4518,-0.027414996
764758870,-0.162444444,-7.65E-07
764758869,2.3021875,0.013707563
764758868,1.8782,0
781803228,2.243,0
781803227,3.4675,0
554808788,2.54725,-0.027415428
548084540,2.615333333,0
548084552,0.9294,0.027415027
548085081,0.69875,0.027414675
548085080,0.663,0
548084580,0.73225,2.50E-07
548084581,0.253666667,0
764680464,-1.311,0
548084936,1.0995,0
548085074,0.37,0
554806707,0.0354,-3.59E-07
548084950,0.069,0
548084929,-0.06975,0.027415329
548084964,-0.314666667,0
548084967,-1.7168,0
781803224,0.742,0.027415357
764754024,-0.137,0
764754027,-0.332375,-0.027413513
764754026,0.428875,0.027414099
764754028,-0.985,0
764754023,-2.404833333,0.027414703
764754022,-2.053,0
565430458,-1.1805,0
565430459,-0.5935,0
548028894,-0.5925,0
548029530,0.480333333,2.44E-07
548029529,0.8924,-0.020560642
565390068,0.297,0
565390067,0.3325,0
565390315,-2.974875,-0.027414413
760095034,-1.14405,0.009138726
760095037,0.620766667,-0.005483024
760095035,4.430111111,0
565390271,2.0775,0
586810051,-1.540777778,0
781485291,-0.144333333,0
760095043,-1.418357143,-4.21E-07
760095042,-1.2088,0.013706897
548082838,0.0695,0
548082827,0.8875,-0.0274152
548082797,-0.878875,0
548082829,-2.184466667,0.009138562
548082834,-2.71475,0
760095044,1.354,0
760063148,3.104555556,-0.027415192
760063147,3.037714286,0.013707505
760063144,2.347214286,0.027414411
760063143,2.335,0
760063142,2.487076923,0.027415275
760063140,-1.45825,0
760063139,1.006818182,-0.027414099
565390262,-0.2194,0
760063136,0.3415,-0.027415147
565390257,-0.2345,0
565390255,0.8235,0.027413406
760114605,-2.219736842,-0.009138284
760114604,-0.644769231,-0.003426964
548097276,-0.692590909,0.012184451
548083990,0.4985,0
760114625,0.5602,0.027413986
781485293,3.499235294,-0.002741599
781485292,4.3915,0.02741536
548084055,4.70675,0
548084101,4.623,0
565390278,4.424333333,-0.027415329
565390277,3.5755,0
548084014,2.633285714,0
548084012,0.614625,-0.013707653
53638655,1.1882,0
548084092,1.1705,0
565390276,0.754555556,0.027415279
565390275,0.111,-0.027415362
548092384,-0.171375,0.027414394
760108482,-0.30825,0
781485285,-1.3682,0
565390747,-3.290227273,-0.006853731
565418171,-3.385571429,0
565418172,-3.05475,0.027415412
565390727,-1.1675,-0.027414528
565390724,-1.26825,0
543972349,1.482,0
565390288,1.328333333,0
565390733,1.806923077,-0.027414983
565390732,3.446,0
